query,gen_answer,gold_answer,gold_ids,retrieved_ids,hit@1,hit@3,hit@5,rr,meteor,embed
"Considering the information from an article in The New York Times about the band Used To Be Young's latest tour and a review in Rolling Stone discussing the standout performance of a particular member during a recent concert, which member of Used To Be Young was highlighted for their exceptional solo during the tour's opening night and also plays the instrument that begins with the letter 'B'?",Insufficient information.,Insufficient information.,[],"[212, 171, 212, 212, 417]",0.0,0.0,0.0,0.0,0.9375,1.0000001192092896
"Has the advice provided by Sporting News to bettors regarding the evaluation of betting opportunities and offers involved reading requirements, going with the favored Eagles, and focusing on hype between the reports published on September 28, 2023, and December 18, 2023?",Insufficient information.,no,"[62, 202, 311]","[314, 314, 202, 202, 314]",0.0,1.0,1.0,0.3333333333333333,0.0,0.18850408494472504
"Which company, covered by Engadget and Polygon, is set to release an updated gaming hardware with over 300 improvements on November 16, emphasizing a singular performance target for developers?",Valve (Steam Deck OLED),Valve,"[524, 354, 524, 169]","[354, 213, 338, 213, 526]",1.0,1.0,1.0,1.0,0.3846153846153847,0.5290438532829285
"Was there inconsistency in Jada Pinkett Smith's statements regarding what she learned from her children after The Independent - Life and Style's report on her views on self-acceptance published at 13:41:30, and before The Independent - Life and Style's subsequent report on the same topic published at 15:48:10 on the same day?",Insufficient information.,no,"[360, 360, 36]","[360, 360, 159, 18, 18]",1.0,1.0,1.0,1.0,0.0,0.18850408494472504
"Considering the economic forecasts from a Bloomberg article and the archaeological discoveries reported by Al Jazeera, which country in North Africa, expected to see a significant rise in GDP, also recently unveiled an ancient artifact believed to be from the reign of a pharaoh whose name begins with the letter ""T""?",Insufficient information.,Insufficient information.,[],"[76, 76, 456, 456, 456]",0.0,0.0,0.0,0.0,0.9375,1.0000001192092896
"Was the news about Taylor Swift's relationship with Travis Kelce inconsistent with the later report from The Independent - Life and Style on December 6, 2023?",Insufficient information.,no,"[45, 59, 46]","[295, 295, 21, 174, 44]",0.0,0.0,0.0,0.0,0.0,0.18850408494472504
"Has the portrayal of Google's market practices in reports by The Age before October 22, 2023, remained consistent with the depiction in The Verge's coverage of the Epic v. Google case, and with TechCrunch's report on the class action antitrust suit filed against Google?",Insufficient information.,no,"[355, 32, 33]","[299, 237, 170, 170, 33]",0.0,0.0,1.0,0.2,0.0,0.18850408494472504
"Does the TechCrunch article suggest that Amazon's large language model (LLM) is not trained on kids' responses, while The Age article raises concerns about TikTok's pixel collecting data without consent?","Yes, the TechCrunch article states that Amazon's LLM is not trained on kids' responses. The context does not provide information regarding concerns about TikTok's pixel collecting data without consent.",Yes,"[188, 189]","[188, 188, 188, 188, 188]",1.0,1.0,1.0,1.0,0.0,0.15220095217227936
"Did the report from Cnbc | World Business News Leader on ""Nike's Latin America and Asia Pacific unit"" or the article from Fortune on the ""U.S. home sales price"" both report a decrease in their respective financial figures?",Insufficient information.,no,"[215, 112]","[215, 215, 215, 215, 215]",1.0,1.0,1.0,1.0,0.0,0.18850408494472504
"Did the coverage of ski resorts by 'The Independent - Travel' change after their report on the 'Swiss slopes of Zermatt and pistes of Vail in Colorado' on October 13th, 2023, compared to their subsequent report on 'Tremblant Ski Resort' on October 25th, 2023?",Insufficient information.,no,"[572, 573]","[573, 573, 573, 573, 572]",1.0,1.0,1.0,1.0,0.0,0.18850408494472504
